"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 18 02:31:24 UTC 2026","Tue Aug 18 02:31:24 UTC 2026","13","1 Team Hummingbird - BFF | EP app","Endpoint tests","Support","Support FAQ_EN","","Support FAQ_EN",""
"passed","Tue Aug 18 02:32:43 UTC 2026","Tue Aug 18 02:32:43 UTC 2026","33","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","login-controller","POST /public_api/auth/sso/login [NEG] Expired Token","","POST /public_api/auth/sso/login [NEG] Expired Token",""
"skipped","Tue Aug 18 02:30:39 UTC 2026","Tue Aug 18 02:30:39 UTC 2026","0","7. Team Pegasus | Pegasus Staging","Endpoints Tests","Membership Management (PGS-861)","POST /companies — create with UTM (PGS-861)","","POST /companies — create with UTM (PGS-861)",""
"passed","Tue Aug 18 02:31:11 UTC 2026","Tue Aug 18 02:31:11 UTC 2026","61","4. Team CRM |CRM Staging","Business Scenarios Tests","Create and edit a contact","Check Contact","","Check Contact",""
"failed","Tue Aug 18 02:30:35 UTC 2026","Tue Aug 18 02:30:35 UTC 2026","0","3 Team Techno - UCL","Functional Tests","Endpoint Tests","WebsiteLead","","get all active on ep for given existing uuid",""
"skipped","Tue Aug 18 02:30:39 UTC 2026","Tue Aug 18 02:30:39 UTC 2026","0","7. Team Pegasus | Pegasus Staging","Business Scenarios Tests","Business Insights","Dashboard smoke flow","","Health status",""
"failed","Tue Aug 18 02:32:53 UTC 2026","Tue Aug 18 02:32:53 UTC 2026","13","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","search-controller","GET /public_api/suppliers/recommendations","","GET /public_api/suppliers/recommendations",""
"failed","Tue Aug 18 02:32:36 UTC 2026","Tue Aug 18 02:32:36 UTC 2026","14","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","conversation-controller","GET /public_api/conversation/userConversations [NEG] Expired Token","","GET /public_api/conversation/userConversations [NEG] Expired Token",""
"passed","Tue Aug 18 02:31:25 UTC 2026","Tue Aug 18 02:31:25 UTC 2026","233","1 Team Hummingbird - BFF | EP app","Endpoint tests","Company","Company ID EN","","Company ID EN",""
"passed","Tue Aug 18 02:32:46 UTC 2026","Tue Aug 18 02:32:46 UTC 2026","34","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","login-controller","DELETE /public_api/auth/sso/logout [NEG] Expired Token","","DELETE /public_api/auth/sso/logout [NEG] Expired Token",""
"passed","Tue Aug 18 02:32:19 UTC 2026","Tue Aug 18 02:32:20 UTC 2026","428","1.1 Team Hummingbird - BFF | WLW app","Endpoint tests","Login","native email login","","native email login",""
"skipped","Tue Aug 18 02:32:19 UTC 2026","Tue Aug 18 02:32:19 UTC 2026","0","1.1 Team Hummingbird - BFF | WLW app","Business Scenario Tests","(empty)","(empty)","","Business Scenario Tests - empty",""
"passed","Tue Aug 18 02:32:49 UTC 2026","Tue Aug 18 02:32:49 UTC 2026","31","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","purchaser-user-setting-controller","PUT /userSetting/{id}","","PUT /userSetting/{id}",""
"passed","Tue Aug 18 02:32:31 UTC 2026","Tue Aug 18 02:32:31 UTC 2026","34","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","categories-controller","GET /public_api/categories/homepage","","GET /public_api/categories/homepage",""
"passed","Tue Aug 18 02:41:50 UTC 2026","Tue Aug 18 02:41:50 UTC 2026","120","Dolphin","Functional","","","getProductsByCategoryTest","popular in category -- getProductsByCategory",""
"failed","Tue Aug 18 02:30:41 UTC 2026","Tue Aug 18 02:30:41 UTC 2026","0","3 Team Techno - UCL","Technical Tests","Retargeting","GET /unified_commercial_logic/internal_api/api/retargeting - Retrieve Retargeting List","","GET /unified_commercial_logic/internal_api/api/retargeting - Retrieve Retargeting List",""
"passed","Tue Aug 18 02:41:48 UTC 2026","Tue Aug 18 02:41:49 UTC 2026","775","Dolphin","Functional","","","productTextSearchTest","AI product text search recall API",""
"failed","Tue Aug 18 02:30:44 UTC 2026","Tue Aug 18 02:30:44 UTC 2026","0","3 Team Techno - UCL","Technical Tests","Membership","GET /unified_commercial_logic/internal_api/api/membership/find_by_id/{id} - Retrieve Membership By ID","","GET /unified_commercial_logic/internal_api/api/membership/find_by_id/{id} - Retrieve Membership By ID",""
"skipped","Tue Aug 18 02:30:39 UTC 2026","Tue Aug 18 02:30:39 UTC 2026","0","7. Team Pegasus | Pegasus Staging","Endpoints Tests","Visitors","Java (statistics-app)","","Filter types",""
"failed","Tue Aug 18 02:30:43 UTC 2026","Tue Aug 18 02:30:43 UTC 2026","0","3 Team Techno - UCL","Technical Tests","Membership","GET /unified_commercial_logic/internal_api/api/membership/v2 - Retrieve Membership V2 List","","GET /unified_commercial_logic/internal_api/api/membership/v2 - Retrieve Membership V2 List",""
"skipped","Tue Aug 18 02:30:39 UTC 2026","Tue Aug 18 02:30:39 UTC 2026","0","7. Team Pegasus | Pegasus Staging","Endpoints Tests","Business Insights","Scoring by uuid","","Scoring by uuid",""
"passed","Tue Aug 18 02:32:41 UTC 2026","Tue Aug 18 02:32:41 UTC 2026","33","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","feedback-controller","POST /v1/feedback [NEG] Expired Token","","POST /v1/feedback [NEG] Expired Token",""
"passed","Tue Aug 18 02:31:24 UTC 2026","Tue Aug 18 02:31:24 UTC 2026","13","1 Team Hummingbird - BFF | EP app","Endpoint tests","Support","Supportmasterdata_FR","","Supportmasterdata_FR",""
"passed","Tue Aug 18 02:31:59 UTC 2026","Tue Aug 18 02:31:59 UTC 2026","14","2 Team Dragon - BFF | RFQ Backend","Technical Tests","(root)","GET /v1/categories - CPV list (schema + contract)","","GET /v1/categories - CPV list (schema + contract)",""
